,Supplier.Name,lat,long,Total.Population.Served,liters.2014.2015,liters.2014.2015.capita,Month,Year,Conservation.Standard.2015,SPEI_3YEARS,SPI_3YEARS
0,Adelanto,34.6093615,-117.6754371,31765,421623033.478188,13273.1948206576,Oct,14,20%,-2.164464696,-1.659207743
1,Adelanto,34.6093615,-117.6754371,32543,455006586.61781,13981.7037955262,May,15,20%,-2.164464696,-1.659207743
2,Adelanto,34.6093615,-117.6754371,32543,420862165.558803,12932.4944092064,Apr,15,20%,-2.164464696,-1.659207743
3,Adelanto,34.6093615,-117.6754371,28723,520051443.756341,18105.7495302141,Jun,15,20%,-2.164464696,-1.659207743
4,Adelanto,34.6093615,-117.6754371,31765,299244431.658162,9420.57080617542,Dec,14,20%,-2.164464696,-1.659207743
5,Adelanto,34.6093615,-117.6754371,31765,353262268.522023,11121.1165912804,Nov,14,20%,-2.164464696,-1.659207743
6,Adelanto,34.6093615,-117.6754371,31765,531548990.809018,16733.7947681101,Jun,14,20%,-2.164464696,-1.659207743
7,Adelanto,34.6093615,-117.6754371,31765,469514346.713505,14780.8703514404,Sep,14,20%,-2.164464696,-1.659207743
8,Adelanto,34.6093615,-117.6754371,31765,490267704.374423,15434.2107468731,Aug,14,20%,-2.164464696,-1.659207743
9,Adelanto,34.6093615,-117.6754371,31765,611686666.262889,19256.6241543488,Jul,14,20%,-2.164464696,-1.659207743
10,Adelanto,34.6093615,-117.6754371,32543,357869115.576215,10996.8077797442,Mar,15,20%,-2.164464696,-1.659207743
11,Adelanto,34.6093615,-117.6754371,28723,490405871.931923,17073.6299109398,Jul,15,20%,-2.164464696,-1.659207743
12,Adelanto,34.6093615,-117.6754371,28723,455693903.971655,15865.1221659177,Aug,15,20%,-2.164464696,-1.659207743
13,Adelanto,34.6093615,-117.6754371,32543,265050800.23621,8144.63326172171,Feb,15,20%,-2.164464696,-1.659207743
14,Adelanto,34.6093615,-117.6754371,32543,319000499.674455,9802.43062023951,Jan,15,20%,-2.164464696,-1.659207743
15,Alameda,36.778261,-119.4179324,346000,4387293127.205,12680.0379398989,Aug,15,16%,-2.515306782,-2.230197237
16,Alameda,36.778261,-119.4179324,340000,3418227518.43496,10053.6103483381,Nov,14,16%,-2.515306782,-2.230197237
17,Alameda,36.778261,-119.4179324,340000,3250533743.16733,9560.39336225685,Jan,15,16%,-2.515306782,-2.230197237
18,Alameda,36.778261,-119.4179324,340000,3062777281.46813,9008.16847490628,Dec,14,16%,-2.515306782,-2.230197237
19,Alameda,36.778261,-119.4179324,344000,4042820586.58753,11752.3854261265,Jun,15,16%,-2.515306782,-2.230197237
20,Alameda,36.778261,-119.4179324,340000,3622639795.28489,10654.8229273085,Apr,15,16%,-2.515306782,-2.230197237
21,Alameda,36.778261,-119.4179324,346000,4341868176.79391,12548.7519560518,Jul,15,16%,-2.515306782,-2.230197237
22,Alameda,36.778261,-119.4179324,340000,5022485350.45349,14772.0157366279,Aug,14,16%,-2.515306782,-2.230197237
23,Alameda,36.778261,-119.4179324,344000,3837272685.97732,11154.8624592364,May,15,16%,-2.515306782,-2.230197237
24,Alameda,36.778261,-119.4179324,340000,3010160047.24195,8853.41190365279,Feb,15,16%,-2.515306782,-2.230197237
25,Alameda,36.778261,-119.4179324,340000,4621988704.329,13594.0844244971,Sep,14,16%,-2.515306782,-2.230197237
26,Alameda,36.778261,-119.4179324,340000,3637781445.42192,10699.3571924174,Mar,15,16%,-2.515306782,-2.230197237
27,Alameda,36.778261,-119.4179324,340000,4330133397.93771,12735.6864645227,Oct,14,16%,-2.515306782,-2.230197237
28,Alameda,36.778261,-119.4179324,337562,5304120043.00229,15713.0246976919,Jul,14,16%,-2.515306782,-2.230197237
29,Alco,36.778261,-119.4179324,29141,377602471.117302,12957.7732787928,Nov,14,24%,-2.515306782,-2.230197237
30,Alco,36.778261,-119.4179324,29179,455960510.576443,15626.3240884349,Aug,15,24%,-2.515306782,-2.230197237
31,Alco,36.778261,-119.4179324,29179,445342428.417849,15262.4294327376,Jul,15,24%,-2.515306782,-2.230197237
32,Alco,36.778261,-119.4179324,29179,426994533.8643,14633.6246569211,Jun,15,24%,-2.515306782,-2.230197237
33,Alco,36.778261,-119.4179324,29141,469205669.033811,16101.2205838445,Oct,14,24%,-2.515306782,-2.230197237
34,Alco,36.778261,-119.4179324,29179,414673016.065291,14211.3511794541,Apr,15,24%,-2.515306782,-2.230197237
35,Alco,36.778261,-119.4179324,29179,370845509.743652,12709.328960679,Mar,15,24%,-2.515306782,-2.230197237
36,Alco,36.778261,-119.4179324,29179,340543282.406917,11670.8345867547,Feb,15,24%,-2.515306782,-2.230197237
37,Alco,36.778261,-119.4179324,29179,390987689.838439,13399.6260954261,May,15,24%,-2.515306782,-2.230197237
38,Alco,36.778261,-119.4179324,29141,339460654.422119,11648.9020425558,Dec,14,24%,-2.515306782,-2.230197237
39,Alco,36.778261,-119.4179324,29141,484555516.860227,16627.964615498,Sep,14,24%,-2.515306782,-2.230197237
40,Alco,36.778261,-119.4179324,29334,500976636.433839,17078.3608247712,Aug,14,24%,-2.515306782,-2.230197237
41,Alco,36.778261,-119.4179324,29179,339543933.497873,11636.5856779832,Jan,15,24%,-2.515306782,-2.230197237
42,Alco,36.778261,-119.4179324,29334,528227821.267962,18007.3573760129,Jul,14,24%,-2.515306782,-2.230197237
43,Alco,36.778261,-119.4179324,29334,513623699.710794,17509.5009105746,Jun,14,24%,-2.515306782,-2.230197237
44,Alhambra,37.8012978,-122.4405747,85068,1261431126.91731,14828.5033963101,Jun,14,24%,-1.947805643,-1.301461457
45,Alhambra,37.8012978,-122.4405747,85068,1267931568.93993,14904.9180530862,Aug,14,24%,-1.947805643,-1.301461457
46,Alhambra,37.8012978,-122.4405747,85068,1163912161.77339,13682.1385453213,Oct,14,24%,-1.947805643,-1.301461457
47,Alhambra,37.8012978,-122.4405747,85068,1147223171.15364,13485.9544265016,Sep,14,24%,-1.947805643,-1.301461457
48,Alhambra,37.8012978,-122.4405747,85068,946104182.199476,11121.7400456044,Jun,15,24%,-1.947805643,-1.301461457
49,Alhambra,37.8012978,-122.4405747,85068,1238821430.091,14562.7195901044,Jul,14,24%,-1.947805643,-1.301461457
50,Alhambra,37.8012978,-122.4405747,85068,1025022262.01111,12049.4458787219,Aug,15,24%,-1.947805643,-1.301461457
51,Alhambra,37.8012978,-122.4405747,85068,973906831.761125,11448.5685776217,Jul,15,24%,-1.947805643,-1.301461457
52,Alhambra,37.8012978,-122.4405747,85068,852840724.641521,10025.3999699243,Feb,15,24%,-1.947805643,-1.301461457
53,Alhambra,37.8012978,-122.4405747,85068,946831935.670699,11130.295007179,May,15,24%,-1.947805643,-1.301461457
54,Alhambra,37.8012978,-122.4405747,85068,946733257.233923,11129.1350123892,Apr,15,24%,-1.947805643,-1.301461457
55,Alhambra,37.8012978,-122.4405747,85068,1001586133.2768,11773.9471161518,Mar,15,24%,-1.947805643,-1.301461457
56,Alhambra,37.8012978,-122.4405747,85068,862079493.284678,10134.0044821164,Dec,14,24%,-1.947805643,-1.301461457
57,Alhambra,37.8012978,-122.4405747,85068,907348226.155686,10666.1520919228,Jan,15,24%,-1.947805643,-1.301461457
58,Alhambra,37.8012978,-122.4405747,85068,969638989.370561,11398.3988029642,Nov,14,24%,-1.947805643,-1.301461457
59,Amador Water Agency,36.778261,-119.4179324,23347,193737413.503324,8298.17164960481,Feb,15,24%,-2.515306782,-2.230197237
60,Amador Water Agency,36.778261,-119.4179324,23347,369077722.090153,15808.3574801967,Jul,15,24%,-2.515306782,-2.230197237
61,Amador Water Agency,36.778261,-119.4179324,23347,361734021.773693,15493.8117005908,Jun,15,24%,-2.515306782,-2.230197237
62,Amador Water Agency,36.778261,-119.4179324,23347,257483760.580228,11028.5587261844,Apr,15,24%,-2.515306782,-2.230197237
63,Amador Water Agency,36.778261,-119.4179324,23347,489491694.8049,20965.9354437358,Jun,14,24%,-2.515306782,-2.230197237
64,Amador Water Agency,36.778261,-119.4179324,23347,252789849.037748,10827.5088464363,Mar,15,24%,-2.515306782,-2.230197237
65,Amador Water Agency,36.778261,-119.4179324,23347,357418651.484639,15308.9755208223,Aug,15,24%,-2.515306782,-2.230197237
66,Amador Water Agency,36.778261,-119.4179324,23347,246203231.228139,10545.3904667897,Dec,14,24%,-2.515306782,-2.230197237
67,Amador Water Agency,36.778261,-119.4179324,23347,209295459.019124,8964.55471877003,Nov,14,24%,-2.515306782,-2.230197237
68,Amador Water Agency,36.778261,-119.4179324,23347,259830716.351468,11129.0836660585,May,15,24%,-2.515306782,-2.230197237
69,Amador Water Agency,36.778261,-119.4179324,23347,209636146.147207,8979.14704875175,Jan,15,24%,-2.515306782,-2.230197237
70,Amador Water Agency,36.778261,-119.4179324,23347,504519782.565904,21609.6193329295,Jul,14,24%,-2.515306782,-2.230197237
71,Amador Water Agency,36.778261,-119.4179324,23347,433467589.297882,18566.3078467418,Aug,14,24%,-2.515306782,-2.230197237
72,Amador Water Agency,36.778261,-119.4179324,23347,335501112.911285,14370.2022919983,Oct,14,24%,-2.515306782,-2.230197237
73,Amador Water Agency,36.778261,-119.4179324,23347,428281574.125948,18344.1801570201,Sep,14,24%,-2.515306782,-2.230197237
74,American Canyon,34.4311491,-119.7177312,20080,365110216.071347,18182.7796848281,Aug,15,20%,-2.191422233,-1.686251237
75,American Canyon,34.4311491,-119.7177312,20080,261497857.456506,13022.8016661606,Jan,15,20%,-2.191422233,-1.686251237
76,American Canyon,34.4311491,-119.7177312,20080,307136634.465424,15295.6491267641,Mar,15,20%,-2.191422233,-1.686251237
77,American Canyon,34.4311491,-119.7177312,20080,345374528.716139,17199.9267288914,Oct,14,20%,-2.191422233,-1.686251237
78,American Canyon,34.4311491,-119.7177312,20080,363876735.611647,18121.351375082,Sep,14,20%,-2.191422233,-1.686251237
79,American Canyon,34.4311491,-119.7177312,20080,314537517.223627,15664.2189852404,Apr,15,20%,-2.191422233,-1.686251237
80,American Canyon,34.4311491,-119.7177312,20080,437885563.193677,21807.0499598445,Jul,14,20%,-2.191422233,-1.686251237
81,American Canyon,34.4311491,-119.7177312,20080,247929572.3998,12347.0902589542,Feb,15,20%,-2.191422233,-1.686251237
82,American Canyon,34.4311491,-119.7177312,20080,247929572.3998,12347.0902589542,Dec,14,20%,-2.191422233,-1.686251237
83,American Canyon,34.4311491,-119.7177312,20080,421850317.21757,21008.4819331459,Jun,14,20%,-2.191422233,-1.686251237
84,American Canyon,34.4311491,-119.7177312,20080,407048551.701164,20271.3422161934,Aug,14,20%,-2.191422233,-1.686251237
85,American Canyon,34.4311491,-119.7177312,20080,261497857.456506,13022.8016661606,Nov,14,20%,-2.191422233,-1.686251237
86,American Canyon,34.4311491,-119.7177312,20080,335506685.038535,16708.5002509231,Jun,15,20%,-2.191422233,-1.686251237
87,American Canyon,34.4311491,-119.7177312,20080,346608009.17584,17261.3550386374,May,15,20%,-2.191422233,-1.686251237
88,American Canyon,34.4311491,-119.7177312,20080,367577176.990748,18305.6363043201,Jul,15,20%,-2.191422233,-1.686251237
89,Anaheim,33.780285,-117.8927186,358549,6148900091.60698,17149.399640236,Apr,15,20%,-2.491475993,-1.866143132
90,Anaheim,33.780285,-117.8927186,356762,8424671539.7544,23614.2625609073,Jul,14,20%,-2.491475993,-1.866143132
91,Anaheim,33.780285,-117.8927186,358549,5444582749.118,15185.0451378138,Jan,15,20%,-2.491475993,-1.866143132
