Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month, REPORTED Total Monthly Potable Water Production 2014/2015 , REPORTED Total Monthly Potable Water Production 2013 ,REPORTED Monthly CII 2014/2015 (Subset of REPORTED Total Monthly Potable Water Production 2014/2015),REPORTED Monthly Ag Use 2014/2015 (This value is removed from REPORTED Total Monthly Potable Water Production 2014/2015 by Water Board staff to obtain CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons),REPORTED Monthly Ag Use 2013 (This value is removed from REPORTED Total Monthly Potable Water Production 2013 by Water Board Staff to obtain CALCULATED Total Monthly Potable Water Production 2013 Gallons),Optional - REPORTED Recycled Water,REPORTED Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Conservation Standard (starting in June 2015),Supplier has Agricultural Water Use Exclusion Certification (list of received certifications available at: http://www.waterboards.ca.gov/water_issues/programs/conservation_portal/agriculture/),CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons (Values calculated by Water Board staff. REPORTED Total Monthly Potable Water Production 2014/2015 - REPORTED Monthly Ag Use 2014/2015; converted to gallons.),CALCULATED Total Monthly Potable Water Production 2013 Gallons (Values calculated by Water Board staff. REPORTED Total Monthly Potable Water Production 2013 - REPORTED Monthly Ag Use 2013; converted to gallons.),CALCULATED Monthly CII 2014/2015 (Subset of CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons),CALCULATED R-GPCD 2014/2015 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections,Hydrologic Region
East Bay Municipal Utilities District,Stage 4,Yes,15-Aug,5250.5,7172.3,997.2,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for Aug from 2005-2007 is 124 gpcd using metered consumption data. The R-GPCD for Aug, 2013 is 103 gpcd. 2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in Aug, 2013 as a percentage of Total Monthly Potable Production (TMPP) for Aug, 2013 and applying that ratio to TMPP of Aug, 2015 to get the approximate volume of residential water use for Aug, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in Aug, 2013 as a percentage of Total Monthly Potable Production (TMPP) for Aug, 2013 was calculated, and that ratio was applied to the TMPP for Aug, 2015 to get the approximate volume of CII water use for Aug, 2015.  4. The number of Contact Follow-Ups includes the following actions: email to customer; field visit – contact with customer; field visit – door hanger; incoming call – contact with customer; outgoing call – contact with customer; outgoing call – voice message; warning letter sent.  ",1390000,74,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",16%,No,"5,250,500,000","7,172,300,000","997,200,000",74.3,61,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Stage 4,Yes,15-Jul,5148.5,7452.2,955,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for July from 2005-2007 is 125 gpcd using metered consumption data. The R-GPCD for July, 2013 is 105 gpcd. 2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in July, 2013 as a percentage of Total Monthly Potable Production (TMPP) for July, 2013 and applying that ratio to TMPP of July, 2015 to get the approximate volume of residential water use for July, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in July, 2013 as a percentage of Total Monthly Potable Production (TMPP) for July, 2013 was calculated, and that ratio was applied to the TMPP for July, 2015 to get the approximate volume of CII water use for July, 2015. ",1390000,71,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed. On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. 3. The number of Contact Follow-Ups includes the following actions: email to customer; field visit – contact with customer; field visit – door hanger; incoming call – contact with customer; outgoing call – contact with customer; outgoing call – voice message; warning letter sent.",,16%,No,"5,148,500,000","7,452,200,000","955,000,000",71.7,60,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Stage 4,Yes,15-Jun,4778.2,6927.5,908.8,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for June from 2005-2007 is 116 gpcd using metered consumption data. The R-GPCD for June, 2013 is 102 gpcd. 2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in June, 2013 as a percentage of Total Monthly Potable Production (TMPP) for June, 2013 and applying that ratio to TMPP of June, 2015 to get the approximate volume of residential water use for June, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in June, 2013 as a percentage of Total Monthly Potable Production (TMPP) for June, 2013 was calculated, and that ratio was applied to the TMPP for June, 2015 to get the approximate volume of CII water use for June, 2015.  4. The number of Contact Follow-Ups includes the following actions: email to customer; field visit – contact with customer; field visit – door hanger; incoming call – contact with customer; outgoing call – contact with customer; outgoing call – voice message; warning letter sent.  ",1390000,69,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ",,16%,No,"4,778,200,000","6,927,500,000","908,800,000",69.9,61,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Stage 4,Yes,15-May,4657.7,6716.5,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for May from 2005-2007 is 99 gpcd using metered consumption data. The R-GPCD for May, 2013 is 95 gpcd. 2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in May, 2013 as a percentage of Total Monthly Potable Production (TMPP) for May, 2013 and applying that ratio to TMPP of May, 2015 to get the approximate volume of residential water use for May, 2015. The population for 2015 was calculated using 2013 ABAG projections. ",1390000,65,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",NULL,No,"4,657,700,000","6,716,500,000",Null,64.9,60,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Stage 4,Yes,15-Apr,4456.9,5417.5,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for April from 2005-2007 is 81 gpcd using metered consumption data. The R-GPCD for April, 2013 is 82 gpcd.  2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in April, 2013 as a percentage of Total Monthly Potable Production (TMPP) for April, 2013 and applying that ratio to TMPP of April, 2015 to get the approximate volume of residential water use for April, 2015. The population for 2015 was calculated using 2013 ABAG projections. ",1390000,67,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed. On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",NULL,No,"4,456,900,000","5,417,500,000",Null,66.3,62,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Moderate,Yes,15-Mar,4650.2,4927.5,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for March from 2005-2007 is 71 gpcd using metered consumption data. The R-GPCD for March, 2013 is 71 gpcd. 2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in March, 2013 as a percentage of Total Monthly Potable Production (TMPP) for March, 2013 and applying that ratio to TMPP of March, 2015 to get the approximate volume of residential water use for March, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in CY 2014 vs 2013.  ",1390000,67,"EBMUD’s Board adopted Section 28 of the District’s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program will be incorporated into EBMUD’s next monthly submittal to the SWRCB.",NULL,No,"4,650,200,000","4,927,500,000",Null,65.8,61,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Moderate,Yes,15-Feb,3765.9,4016.4,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for February from 2005-2007 is 68 gpcd using billed consumption data. The R-GPCD for February, 2013 is 64 gpcd.  2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in January, 2013 as a percentage of Total Monthly Potable Production (TMPP) for February, 2013 and applying that ratio to TMPP of February, 2015 to get the approximate volume of residential water use for February, 2015. The population for 2015 was calculated using 2013 ABAG projections.  3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in 2014 vs 2013.   4.The extremely dry weather of January 2015 and the wet weather preceding January 2013 results in a comparison showing no conservation to have occurred. February shows savings of about 6.7%. ",1390000,59,"EBMUD’s Board adopted Section 28 of the District’s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",NULL,No,"3,765,900,000","4,016,400,000",Null,59,61,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Moderate,,15-Jan,4096.2,4099.3,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for Janaury from 2005-2007 is 68 gpcd (using billed consumption data). The R-GPCD for January, 2013 is 60 gpcd.  2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in January, 2013 as a percentage of Total Monthly Potable Production (TMPP) for January, 2013 and applying that ratio to TMPP of January, 2015 to get the approximate volume of residential water use for January, 2015. The population for 2015 was calculated using 2013 ABAG projections.  3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in 2014 vs 2013.   4. The extremely dry weather of January 2015 and the wet weather preceding January 2013 results in a comparison showing no conservation to have occurred. ",1390000,59,"EBMUD’s Board adopted Section 28 of the District’s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",NULL,No,"4,096,200,000","4,099,300,000",Null,58.9,62,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Moderate,Yes,14-Dec,3839,4772,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for December from 2005-2007 is 71 gpcd (using metered consumption data). The R-GPCD for December, 2013 is 70 gpcd.  2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in December, 2013 as a percentage of Total Monthly Potable Production (TMPP) for December, 2013 and applying that ratio to TMPP of December, 2014 to get the approximate volume of residential water use for December, 2014. The population for 2014 was calculated using 2013 ABAG projections.  3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in 2014 vs 2013.  ",1379000,56,"EBMUD’s Board adopted Section 28 of the District’s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",NULL,No,"3,839,000,000","4,772,000,000",Null,55.7,62,No Correction,San Francisco Bay
East Bay Municipal Utilities District,Moderate,Yes,14-Nov,4195.4,5148.6,,,,,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007…the average R-GPCD for November from 2005-2007 is 81 gpcd (using metered consumption data). The R-GPCD for November, 2013 is 77 gpcd. 2. For the PRU and R-GPCD, applied SWRCB’s recommended methodology of using billing data for the volume of water provided to residential customers in November, 2013 as a percentage of Total Monthly Potable Production (TMPP) for November, 2013 and applying that ratio to TMPP of November, 2014 to get the approximate volume of residential water use for November, 2014. The population for 2014 was calculated using 2013 ABAG projections. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent.  ",1379000,62,"EBMUD’s Board adopted Section 28 of the District’s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",NULL,No,"4,195,400,000","5,148,600,000",Null,61.9,61,No Correction,San Francisco Bay
